All in One,,
Axis [s],Channel.002/ROI.01 [],Channel.002/ROI.02 []
0,26.29069767,27.2735023
0.177,26.0339345,27.00414747
0.355,25.81110584,26.70576037
0.532,25.25605126,26.56267281
0.71,25.33602278,26.03548387
0.887,25.12814428,25.88732719
1.065,24.86473659,25.73110599
1.242,24.74845752,25.75760369
1.42,24.6627907,25.42511521
1.597,24.22401519,25.17073733
1.775,24.00854295,25.05184332
1.96,23.96867584,24.99009217
2.137,23.65923113,24.66152074
2.315,23.85738016,24.39769585
2.492,23.41623161,24.39792627
2.67,23.55837684,24.24562212
2.847,23.09492169,23.91682028
3.025,22.78927385,24.01382488
3.202,22.81561462,23.87857143
3.38,22.79117228,23.44792627
3.557,22.62790698,23.48087558
3.735,22.3709065,23.43064516
3.92,22.18414808,23.11935484
4.097,22.35524442,23.02304147
4.275,22.13289037,23.00506912
4.452,22.14499288,22.84562212
4.63,21.98647366,22.69700461
4.807,21.70028477,22.33410138
4.985,21.67584243,22.32880184
5.162,21.56407214,22.29976959
5.395,8.978168011,8.529953917
5.572,4.124347413,4.224423963
5.75,2.739677266,2.738018433
5.935,2.014475558,2.041935484
6.112,1.69269103,1.697695853
6.29,1.402705268,1.432718894
6.467,1.262221168,1.222580645
6.645,1.072140484,1.117511521
6.822,0.982914096,1.045391705
7,0.933792121,0.960829493
7.177,0.870194589,0.852073733
7.355,0.780968201,0.808986175
7.532,0.719269103,0.761520737
7.71,0.680825819,0.765207373
7.895,0.658756526,0.679953917
8.115,1.00450878,1.080645161
8.292,1.154247746,1.257834101
8.47,1.277408638,1.363133641
8.647,1.304698624,1.510368664
8.825,1.508068344,1.602534562
9.002,1.546748932,1.687557604
9.18,1.738253441,1.749078341
9.357,1.726862838,1.883640553
9.535,1.826767916,1.94516129
9.712,1.890128144,1.987096774
9.897,1.977456099,2.08640553
10.075,2.009254865,2.261751152
10.252,2.115804461,2.282488479
10.43,2.254390128,2.278801843
10.607,2.2247271,2.389170507
10.785,2.321309919,2.436175115
10.962,2.360939725,2.484331797
11.14,2.411722829,2.632718894
11.317,2.478879924,2.58202765
11.495,2.573327005,2.674654378
11.672,2.582344566,2.729953917
11.857,2.573089701,2.802073733
12.035,2.742050308,2.768894009
12.212,2.783578548,2.851382488
12.39,2.800901756,2.926497696
12.567,2.888467015,2.948387097
12.745,2.929520645,3.080875576
12.922,2.974608448,2.97718894
13.1,2.968438538,3.056451613
13.277,3.093972473,3.146082949
13.455,3.162316089,3.121658986
13.632,3.136449929,3.202304147
13.81,3.124822022,3.185714286
13.995,3.062885619,3.244470046
14.172,3.2078785,3.32718894
14.35,3.196725202,3.343548387
14.527,3.301850973,3.426958525
14.705,3.332225914,3.521428571
14.882,3.336022781,3.462211982
15.06,3.413146654,3.347465438
15.237,3.44328429,3.533179724
15.415,3.523493118,3.645852535
15.592,3.509492169,3.666589862
15.77,3.469862364,3.654147465
15.955,3.505932606,3.751152074
16.132,3.614380636,3.713364055
16.31,3.554817276,3.730414747
16.487,3.718082582,3.770046083
16.665,3.722354058,3.721889401
16.842,3.80280019,3.767050691
17.347,3.946131941,4.02764977
17.845,4.04888467,4.119354839
18.347,4.187944945,4.265898618
18.847,4.367346939,4.379953917
19.347,4.574513526,4.603456221
19.847,4.664214523,4.632718894
20.347,4.769340294,4.653686636
20.847,4.755813953,4.595391705
21.347,4.72923588,4.804147465
21.847,4.841480778,4.991935484
22.347,4.986473659,5.107834101
22.847,5.070716659,5.159677419
23.347,5.136449929,5.186866359
23.847,5.085192216,5.172580645
24.347,5.335310869,5.175576037
24.847,5.300664452,5.345391705
25.347,5.414570479,5.378110599
25.847,5.598718557,5.421428571
26.347,5.565258662,5.520506912
26.847,5.508068344,5.603456221
27.347,5.652112008,5.705299539
27.847,5.693877551,5.769585253
28.347,5.829852871,5.743778802
28.847,5.957997152,6.037788018
29.347,5.898433792,5.955299539
29.847,5.920265781,5.955760369
30.347,5.985524442,5.914285714
30.847,6.106312292,5.998847926
31.347,5.993592786,6.007603687
31.847,5.939487423,6.002304147
32.347,6.122686284,6.005529954
32.847,6.031561462,6.00437788
33.347,6.153298529,6.194239631
33.847,6.168485999,6.209677419
34.347,6.200284765,6.325576037
34.847,6.345752254,6.151382488
35.347,6.379449454,6.130875576
35.847,6.462743237,6.214516129
36.347,6.302325581,6.445852535
36.847,6.332700522,6.363364055
37.347,6.405315615,6.433640553
37.847,6.401993355,6.375576037
38.347,6.474608448,6.444930876
38.847,6.450878026,6.398387097
39.347,6.601328904,6.508525346
39.847,6.379924063,6.35921659
40.347,6.601566208,6.420046083
40.847,6.515899383,6.433640553
41.347,6.492643569,6.38640553
41.847,6.745847176,6.572580645
42.347,6.845752254,6.443548387
42.847,6.827717133,6.41797235
43.347,6.840294257,6.533179724
43.847,6.749881348,6.607834101
44.347,7.008780256,6.730645161
44.85,7.021831989,6.613133641
45.35,6.942335074,6.665898618
45.85,7.038917893,6.808064516
46.35,7.00166113,6.585253456
46.85,6.981015662,6.711520737
47.35,7.090887518,6.518202765
47.85,7.057664926,6.611059908
48.35,7.068343617,6.826497696
48.85,7.164926436,6.884792627
49.35,7.123635501,6.971889401
49.85,7.031798766,6.744470046
50.35,7.35168486,6.809677419
50.85,7.11177029,6.744930876
51.35,7.243711438,6.774423963
51.85,7.087802563,6.908064516
52.35,7.195301376,6.871889401
52.85,7.247508306,6.963824885
53.35,7.307546274,6.898847926
53.85,7.361414333,6.89562212
54.35,7.356668249,7.041013825
54.85,7.391077361,7.068663594
55.35,7.558376839,7.112442396
55.85,7.300901756,7.189400922
56.35,7.533934504,7.262442396
56.85,7.43877551,7.180414747
57.35,7.361888942,7.185483871
57.85,7.433792121,7.262442396
58.35,7.493592786,7.397235023
58.85,7.505457997,7.307373272
59.35,7.42358804,7.214746544
59.85,7.562885619,7.296313364
60.35,7.54271476,7.203225806
60.85,7.55339345,7.397465438
61.35,7.363550071,7.370967742
61.85,7.442335074,7.368894009
62.35,7.429046037,7.320046083
62.85,7.385144756,7.283640553
63.35,7.464404366,7.314746544
63.85,7.328429046,7.269354839
64.35,7.196725202,7.22718894
64.85,7.237778832,7.058294931
65.35,7.165638348,7.179262673
65.85,7.07641196,7.03202765
66.35,7.144518272,7.107373272
66.85,7.118177504,7.01843318
67.35,7.263644993,7.050460829
67.85,7.281205505,7.065668203
68.35,7.355956336,6.925576037
68.85,7.399145705,7.183640553
69.35,7.322971049,7
69.85,7.413383958,7.191013825
70.35,7.39439962,7.192857143
70.85,7.242999525,7.179493088
71.35,7.167536782,7.220737327
71.85,7.129093498,7.054608295
72.352,7.338633128,7.185253456
72.852,7.20170859,7.149539171
73.352,7.418604651,7.346774194
73.852,7.333649739,7.335483871
74.352,7.407214048,7.198847926
74.852,7.246559089,7.174423963
75.352,7.451827243,7.155529954
75.852,7.208115804,7.448387097
76.352,7.480303749,7.338248848
76.852,7.464878975,7.344239631
